epoch,loss_data,loss_phys,loss_ic,loss_bc,loss_val,loss_total
50,0.0,0.00013350242807064205,0.03000546619296074,0.0023080911487340927,0.026982242241501808,0.3364858329296112
100,0.0,7.270859350683168e-05,0.023545319214463234,0.001679629902355373,0.020449385046958923,0.25952035188674927
150,0.0,5.517738827620633e-05,0.022709999233484268,0.00315655255690217,0.021738748997449875,0.26418325304985046
200,0.0,0.00012175780284451321,0.009324850514531136,0.00023293177946470678,0.008387911133468151,0.10775360465049744
250,0.0,0.00013362285972107202,0.0070213875733315945,3.004265636263881e-06,0.005214962642639875,0.08360620588064194
300,0.0,0.00013941134966444224,0.018903274089097977,0.0033469705376774073,0.015130655840039253,0.23644357919692993
350,0.0,0.00016217195661738515,0.007898942567408085,0.0017075160285457969,0.00834612175822258,0.11228177696466446
400,0.0,0.0001683574664639309,0.005991380196064711,0.0006336480146273971,0.006031152326613665,0.0830860286951065
450,0.0,0.00020334264263510704,0.003901812480762601,5.976132888463326e-05,0.0038240987341850996,0.059950005263090134
500,0.0,0.00015521625755354762,0.0014756368473172188,3.335432484163903e-05,0.002640369813889265,0.030611537396907806
550,0.0,8.74437318998389e-05,0.0067828926257789135,8.915574289858341e-05,0.00827228557318449,0.07746485620737076
600,0.0,0.00017408913117833436,0.011505192145705223,0.0004167614388279617,0.0055039930157363415,0.13662844896316528
650,0.0,6.338755338219926e-05,0.0009539632592350245,2.6150597477681004e-05,0.0018620786722749472,0.016139892861247063
700,0.0,4.241319402353838e-05,0.0008646479109302163,3.904080222127959e-05,0.0004102876118849963,0.013278205879032612
750,0.0,2.0836321709793992e-05,0.00021391229529399425,1.1208371688553598e-05,0.0005729746189899743,0.0043348390609025955
800,0.0,7.409432782878866e-06,5.9937709011137486e-05,3.083514457102865e-05,3.0134791813907214e-05,0.0016486718086525798
850,0.0,8.668273039802443e-06,2.952585055027157e-05,1.2603355799001292e-06,3.132216079393402e-05,0.0011746891541406512
900,0.0,2.464589852024801e-05,0.00030241330387070775,3.0055576644372195e-05,0.0008325288072228432,0.005789278540760279
950,0.0,1.2689897630480118e-05,9.849702473729849e-05,1.5217796089928015e-06,5.2987215894972906e-05,0.002269177697598934
1000,0.0,2.214210144302342e-05,0.00014179937716107816,5.463153229356976e-06,8.530227933079004e-05,0.0036868355236947536
1050,0.0,5.999054337735288e-06,2.415282688161824e-05,3.464126393737388e-06,1.4330037629406434e-05,0.0008760749478824437
1100,0.0,4.776081368618179e-06,3.4375876566627994e-05,3.103212748101214e-06,1.515181520517217e-05,0.0008523990400135517
1150,0.0,4.360005277703749e-06,2.1376961740315892e-05,9.648536433815025e-06,3.389015910215676e-05,0.0007462555076926947
1200,0.0,5.839318873768207e-06,0.0002138833951903507,7.936640713523957e-07,0.0003101391193922609,0.002730702515691519
1250,0.0,4.406451353133889e-06,8.195600821636617e-05,9.69152242760174e-05,6.0539754485944286e-05,0.002229357371106744
1300,0.0,3.049695123991114e-06,2.549487180658616e-05,3.467260830802843e-05,2.920617589552421e-05,0.0009066443308256567
1350,0.0,1.8339247844778583e-06,2.891696203732863e-05,2.7325331757310778e-05,2.1700037905247882e-05,0.0007458153995685279
1400,0.0,3.1861841307545546e-06,3.882924283971079e-05,5.0417515012668446e-05,0.00010822682088473812,0.001211086055263877
1450,0.0,1.7193887060784618e-06,8.459780474368017e-06,2.1643054424203e-06,5.735772447224008e-06,0.0002781797375064343
1500,0.0,1.899837684504746e-06,2.352551200601738e-05,3.444095636950806e-05,5.031999171478674e-05,0.0007696484681218863
1550,0.0,2.3763368517393246e-06,1.0489020496606827e-05,4.245071067998651e-06,4.988563887309283e-06,0.0003849745844490826
1600,0.0,1.983013589779148e-06,1.8444337911205366e-05,2.4553130060667172e-05,2.8915257644257508e-05,0.0006282760296016932
1650,0.0,3.0731112019566353e-06,8.930838703236077e-06,3.826449699317891e-07,4.2317631596233696e-05,0.00040044597699306905
1700,0.0,1.5656521554774372e-06,3.022005876118783e-05,1.1334820555930492e-05,7.513461605412886e-05,0.0005721140187233686
1750,0.0,3.8373091229004785e-06,2.6093164706253447e-05,8.788168997853063e-06,2.2316606191452593e-05,0.0007325442275032401
1800,0.0,1.4766774256713688e-06,5.517972113011638e-06,3.016221398866037e-06,7.70139740779996e-06,0.00023300969041883945
1850,0.0,2.36045752899372e-06,5.515281736734323e-05,1.8833470676327124e-05,3.758265665965155e-05,0.0009759085951372981
1900,0.0,1.602324459781812e-06,1.6932581274886616e-05,8.4096009231871e-06,1.9090864952886477e-05,0.00041365428478457034
1950,0.0,4.511377028393326e-06,0.0001637960085645318,4.130107117816806e-05,0.0001103090908145532,0.002502108458429575
2000,0.0,2.991191649925895e-06,2.9564713258878328e-05,4.458063358470099e-06,4.4051117583876476e-05,0.000639346893876791
2050,0.0,3.6098447253607446e-06,8.22485308162868e-05,6.0796064644819126e-05,8.74904653755948e-05,0.0017914304044097662
2100,0.0,8.005986273929011e-07,5.110380243422696e-06,7.594017006340437e-06,8.856639396981336e-06,0.00020710383250843734
2150,0.0,2.74450758297462e-06,8.52240282256389e-06,3.573314415916684e-06,3.1869407393969595e-05,0.00039540790021419525
2200,0.0,2.4031724024098366e-06,3.3378506486769766e-05,3.135386941721663e-05,7.392989209620282e-05,0.0008876410429365933
2250,0.0,2.0176089492451865e-06,0.00041091247112490237,4.3306656152708456e-05,0.00012554896238725632,0.004743951838463545
2300,0.0,1.2754926501656882e-06,4.779141818289645e-06,4.6810279741293925e-07,3.569356749721919e-06,0.00018002171418629587
2350,0.0,1.6059045719885034e-06,5.242373390501598e-06,9.634964470706109e-08,8.899516615201719e-06,0.00021397769160103053
2400,0.0,1.326778942711826e-06,3.0154815249261446e-05,3.5167117857781705e-06,1.6415006030001678e-05,0.00046939318417571485
2450,0.0,2.3794084427208873e-06,4.453054862096906e-05,2.3144537408370525e-05,6.290158489719033e-05,0.0009146916563622653
2500,0.0,2.2964709387451876e-06,7.905681559350342e-05,4.088699279236607e-05,3.279265365563333e-05,0.0014290851540863514
2550,0.0,9.480642688686203e-07,3.6737026675837114e-05,7.110853630365455e-07,1.6527999832760543e-05,0.0004692875372711569
2600,0.0,5.121369213156868e-07,8.70561234478373e-06,6.632960776187247e-06,2.023982005994185e-06,0.00020459941879380494
2650,0.0,9.832826890487922e-07,0.00011903820995939896,5.719515320379287e-05,0.000127799081383273,0.0018606617813929915
2700,0.0,2.894184717661119e-06,5.3276213293429464e-05,2.1970814486849122e-05,2.301885797351133e-05,0.0010418888414278626
2750,0.0,1.1608373142735218e-06,2.0677209249697626e-05,2.8851318347733468e-06,1.844730468292255e-05,0.0003517071600072086
2800,0.0,2.150815817003604e-06,1.728284769342281e-05,1.648455327085685e-05,2.944634252344258e-05,0.0005527556058950722
