trial,state,rmse,hidden,n_layers,lambda_phys,lambda_ic,lr,scheduler_gamma,scheduler_step,adam_beta1,adam_beta2
0,complete,0.0532752126455307,48,6,0.8471801418819978,15.75132049977973,0.0002051338263087451,0.3935967122017216,1000,0.9712646604084909,0.9959510386162578
1,complete,0.04987131059169769,96,2,7.579479953348009,46.22589001020831,0.00026587543983272726,0.4090949803242604,1000,0.8925939140143353,0.9951950886731592
2,complete,0.05635727569460869,64,3,0.2801635158716261,1.9010245319870354,0.0003839629299804173,0.5198171059762151,3000,0.9599246345950219,0.9919767704433677
3,complete,0.07316310703754425,80,4,0.0015339162591163618,16.40928673064792,0.00021930485556643703,0.3390309557911677,5000,0.9851884846304383,0.998003133746353
4,complete,0.07214391976594925,48,2,0.5456725485601477,7.591104805282694,0.00017541893487450815,0.5971061460667622,1000,0.9773048562910295,0.9925619218178402
8,complete,0.0027953798417001963,16,6,0.6720930050156113,28.70875348195468,0.0034877126245459306,0.3444267910404542,2000,0.8662216683335181,0.9985447239161683
11,complete,0.0026981616392731667,128,5,6.070701514183076,48.55023866860544,0.0017246341419808122,0.44602741358052544,2000,0.8879925874797564,0.9958576679957076
12,complete,0.003597547532990575,128,5,6.4830289049913254,38.165556248635234,0.0016525238146992878,0.4714432112264131,2000,0.861589162310715,0.9965303812511876
15,complete,0.0075813885778188705,112,5,0.015003676037564242,23.226564319109258,0.0007890347196952535,0.4307081146501763,3000,0.9144545131443726,0.9973667799617212
20,complete,0.007632649969309568,32,4,3.498802630733825,23.300124055144398,0.002427585409543769,0.45566407489524957,2000,0.9007491459409259,0.9944193477519196
22,complete,0.001732397940941155,128,5,9.875650722743329,40.116262673167796,0.004725386286853713,0.5505016595337614,2000,0.870304352691698,0.996287827826511
24,complete,0.0031015658751130104,128,6,0.3548299217253916,95.73886924897562,0.004786602852578444,0.5473516572077353,1000,0.8643974832597324,0.9989746836559341
26,complete,0.0025001962203532457,128,6,8.551453197978596,38.325388592719364,0.002779369218025572,0.6388044877096187,2000,0.9000863573126221,0.9984028950875795
31,complete,0.0014125140151008964,128,6,5.1666989127828895,26.56168184524351,0.0032250409706792334,0.425761918628474,2000,0.8702470988542258,0.9985258551406327
32,complete,0.0036727518308907747,128,6,5.340359171267041,37.985640816912046,0.002171810483905824,0.43146260258832075,2000,0.8930940213734108,0.99936169773656
41,complete,0.0009762854315340519,64,6,3.0739344026793787,29.259317627153525,0.0038019692210311713,0.35614882033264317,2000,0.8603863972515134,0.9985314583169554
43,complete,0.002278283704072237,96,6,5.494490331178892,43.16389856938027,0.004404099225370596,0.44158263324346336,2000,0.8691181748854997,0.9985688875718036
44,complete,0.0007330729276873171,64,6,0.45631171109819263,24.84697236616397,0.00432460230027477,0.34618438632950155,2000,0.851157610364259,0.9985191001078909
52,complete,0.001862329081632197,96,6,6.5940278120632305,35.38802040022198,0.005471220935926853,0.6112561582106321,2000,0.8681668571249669,0.9983680222556084
53,complete,0.0013481131754815578,96,6,4.829451971081126,30.316886491417996,0.005687052971561412,0.36499623794991587,2000,0.8507817485076253,0.9994896548021295
56,complete,0.0009208477567881346,64,6,0.8528466951164103,18.59777846990866,0.005380307115345491,0.610071435582614,2000,0.8512540584371606,0.999456278465862
60,complete,0.0006949143134988844,64,6,0.23446411294854871,9.004631214624947,0.004040860135102222,0.4140592148754382,3000,0.8610263046209471,0.9993934093728667
62,complete,0.0009065109770745039,64,6,0.24951779559570683,8.497378079179441,0.003333995081902308,0.5219224841589825,4000,0.8619211881163625,0.9988363789259143
63,complete,0.0007549099973402917,64,6,0.20920325599418244,7.969001739025255,0.0032981133455945717,0.4778204974336057,3000,0.8598570082867609,0.9910490974184158
73,complete,0.0010672362986952066,64,6,0.39255564722531067,14.14870462751859,0.0027519932489200832,0.4204394919836944,3000,0.8556843880214875,0.9981280746023625
77,complete,0.0010182741098105907,64,6,0.2425972193513157,15.190826109862423,0.0027038912441925806,0.5093268455524677,3000,0.8609606842108187,0.9988315909827713
79,complete,0.0008594627142883837,64,6,0.5376710388160291,10.7003910269634,0.0026514669568904296,0.45788222878041296,3000,0.8666376419487954,0.9987428125992572
86,complete,0.0011197587009519339,64,6,0.25607465981592525,16.350559308343925,0.002709559980493671,0.4232970528763059,4000,0.8675090530343362,0.9981094105323522
91,complete,0.0011039737146347761,64,6,0.24335647828768694,17.377207119202126,0.0027158133593980257,0.4215253194101155,4000,0.8687336203833648,0.9980130861406846
105,complete,0.0005595238762907684,64,6,0.23695785610448475,9.768914987158452,0.006111916452689829,0.3191179379961918,4000,0.8650773446787988,0.9994709363016703
112,complete,0.0006104122730903327,64,6,0.5804893151082613,11.191719897873128,0.005373319882390045,0.45016404584639413,4000,0.8501670634326457,0.9998722130596478
115,complete,0.0005049057072028518,64,6,1.0434230107627769,32.34091014338339,0.00533082810492084,0.45990603555459736,4000,0.8500698131958617,0.9989410191541387
124,complete,0.0005559957353398204,64,6,0.7619477113105799,24.242525995348778,0.006713564678403818,0.4109064924219174,4000,0.8643725097539863,0.993195425142995
125,complete,0.0005191739182919264,64,6,0.7636125520428241,24.219939743045735,0.005894776151440727,0.5648147823006596,4000,0.8639420511548194,0.9915405691302166
126,complete,0.0009161247289739549,64,6,1.4224853021315627,24.11454235342395,0.0067836849675257625,0.5776489001866285,4000,0.8620509831635061,0.9912718705876277
128,complete,0.0009246694389730692,64,6,0.8861396971336806,40.024768228885904,0.008420276461854314,0.5934454696352003,4000,0.8652030097367299,0.9908992560289664
129,complete,0.000759607064537704,48,6,1.4220800559507092,40.27114977583055,0.008546259205029536,0.5885892512233715,4000,0.8724666357976234,0.9909855007455417
132,complete,0.0005694123101420701,64,6,0.9080133219819371,49.54196624841976,0.00828351952313133,0.5896944976512808,4000,0.8651218647528284,0.9910121204871055
137,complete,0.0007249517366290092,64,6,0.8324271545815486,36.29854124377411,0.005713870858297928,0.5669017359934609,4000,0.865483309458114,0.9920478115556451
142,complete,0.0005201489548198879,64,6,1.059355795402751,27.62715968069159,0.005233839036612821,0.6292535719020999,4000,0.8676099166401037,0.9909743591629504
147,complete,0.0009053568355739117,64,6,1.9415439993371404,22.296169856175418,0.007444032598604611,0.6412693146711737,4000,0.8593523191879285,0.9922246802693945
150,complete,0.000997892813757062,64,6,0.657025253643276,46.758660299503035,0.007379252140112509,0.66766335695296,4000,0.8644455736051799,0.9916330287822138
151,complete,0.0018751277821138501,64,6,1.752397793370645,22.02565556035451,0.006485847476314287,0.5895227579422901,4000,0.8598484557133033,0.9928642916582835
152,complete,0.0011927502928301692,64,6,1.3822883343560597,29.921454754532892,0.005653261773733693,0.5317250886289966,4000,0.8633400909518122,0.9909506910086661
156,complete,0.0014134261291474104,64,6,0.4156066070940883,23.79135046438007,0.004253509362926325,0.5890939628550983,4000,0.8548642723783864,0.9934985822412087
161,complete,0.0005790446884930134,64,6,0.8177697648708867,22.551785677258177,0.005531284233062324,0.608960387293048,4000,0.8532283022831717,0.9919759040736637
162,complete,0.0006334854406304657,64,6,0.8420097744886957,21.95485014288885,0.005604628433893149,0.6138641929241029,4000,0.8531945294383892,0.9905398355419625
163,complete,0.0005704702343791723,64,6,0.5800424817695776,20.63147645540142,0.004441173914243536,0.6130958833201797,4000,0.8527207612754849,0.9905280208609636
167,complete,0.0004140879609622061,64,6,0.9275883304084024,22.522271465414196,0.00516007913554494,0.6044280217461775,4000,0.8556701764487014,0.9919732014263855
169,complete,0.0006331102340482175,64,6,0.6589093218315535,18.954215690515923,0.004961388279007326,0.6032947255384378,4000,0.8546293803109176,0.9909035552326168
170,complete,0.0013956489274278283,64,6,0.9791142612948202,18.916971130154774,0.005171983262259287,0.6055292864945678,4000,0.852981420558323,0.9919936816517595
172,complete,0.0006710217567160726,64,6,0.5743357652818748,24.51500932871199,0.005878741705394713,0.5994549418454628,4000,0.8502593994443742,0.990909012832371
173,complete,0.0003673648170661181,64,6,0.7712536678452636,24.600382275247032,0.005877473914827615,0.5946356479214111,4000,0.8523421604628179,0.9909369184193377
174,complete,0.0008416347554884851,64,6,0.612316885890985,24.15181362052118,0.00581838880033877,0.6249102239356856,4000,0.8520330947672083,0.9900133024354818
