trial,state,rmse,hidden,n_layers,lambda_phys,lambda_ic,lr,scheduler_gamma,scheduler_step,adam_beta1,adam_beta2
0,complete,0.0005360333598218858,48,6,0.8471801418819978,15.75132049977973,0.0002051338263087451,0.3935967122017216,1000,0.9712646604084909,0.9959510386162578
1,complete,0.0015746218850836158,96,2,7.579479953348009,46.22589001020831,0.00026587543983272726,0.4090949803242604,1000,0.8925939140143353,0.9951950886731592
2,complete,0.0005229536909610033,64,3,0.2801635158716261,1.9010245319870354,0.0003839629299804173,0.5198171059762151,3000,0.9599246345950219,0.9919767704433677
3,complete,0.0013309750938788056,80,4,0.0015339162591163618,16.40928673064792,0.00021930485556643703,0.3390309557911677,5000,0.9851884846304383,0.998003133746353
4,complete,0.0012903764145448804,48,2,0.5456725485601477,7.591104805282694,0.00017541893487450815,0.5971061460667622,1000,0.9773048562910295,0.9925619218178402
7,complete,1.2137484191043768e-05,48,3,0.14817820606039092,1.9135880487692298,0.0040215545266902904,0.3447303862078625,5000,0.9581142677015321,0.9919672852471884
8,complete,2.703516474866774e-05,16,6,0.6720930050156113,28.70875348195468,0.0034877126245459306,0.3444267910404542,2000,0.8662216683335181,0.9985447239161683
11,complete,0.0003459196595940739,16,5,3.014081614611621,73.47973767867614,0.0037539522659534334,0.3124093411638383,3000,0.8604465441190641,0.9998807207324026
12,complete,8.201259333873168e-05,16,5,0.031214953823638873,30.196969843218803,0.0020518849625537163,0.4646909839694886,2000,0.9287649115322774,0.9933875261285595
13,complete,0.0002205598575528711,32,4,0.0396287130114545,6.5421073151592655,0.0017021074204418985,0.315329696886326,2000,0.9019111830037088,0.9967864956204765
14,complete,2.828369133567321e-06,32,5,1.5470900640652263,29.936200869893714,0.006096230092353268,0.5804885760194731,4000,0.8667959979275492,0.9905189446027594
15,complete,4.970363988832105e-06,48,5,1.508625542422029,1.0519095028133836,0.008429309163885967,0.6145382291843938,4000,0.943876319964684,0.9904483293373831
16,complete,5.6859162214095704e-06,32,5,2.281166987382632,91.05273581735291,0.008152059999870393,0.6461695043338067,4000,0.915952269783803,0.9901304742223711
18,complete,1.9689019609359093e-05,64,5,1.5305588647921704,1.1149993314073985,0.005906266782034528,0.693626300652922,4000,0.8800800471105714,0.9939530170183561
19,complete,5.410812718764646e-06,128,6,0.006389317704841252,4.000009167270171,0.0015632368259953138,0.8371288831612471,4000,0.9135124750050402,0.9910442618435477
20,complete,3.2479438232257962e-06,48,5,0.3640282993687915,39.24819020127144,0.005631072996138016,0.8031522400235495,5000,0.8516269346278574,0.9930409862952141
21,complete,4.4670655370282475e-06,48,5,0.32951237072808365,48.07823951397634,0.005652391337734208,0.804004614003205,5000,0.8524301764908077,0.9929751137030197
25,complete,4.400770194479264e-06,32,5,3.7528466781083623,20.315188730411748,0.005639026931347986,0.6780010891580744,5000,0.8744542658661913,0.9915263435544188
31,complete,4.493203050515149e-06,48,5,0.4699989722234714,40.05841116653547,0.006608521297718777,0.8144686143269815,5000,0.857567680983525,0.9929526273747096
33,complete,2.3623008473805385e-06,48,6,8.436023304328902,56.52571543452457,0.004649268394427078,0.4399935297711267,5000,0.8568447296570315,0.9951717431878475
34,complete,3.5441614727460546e-06,64,6,4.477441282060332,64.62023092947933,0.0073224336990038415,0.3836554415381256,5000,0.8791906765397017,0.9957419513873125
39,complete,4.262789389031241e-06,48,6,2.1688012964899896,32.491382795664414,0.004316088892928011,0.46255747612323467,1000,0.8896857471804118,0.9955018972398731
42,complete,1.6453701618956984e-06,48,6,3.2151169762325256,42.64126440218682,0.007455216283769997,0.4584173806034325,1000,0.8805128446388315,0.9944125579704586
51,complete,4.508863185037626e-06,48,6,2.647389360765659,31.976673744032063,0.0046376897322050635,0.4359664059027275,1000,0.8893679093906647,0.9962362299031119
52,complete,1.5964018302838667e-06,48,6,4.741774996050037,43.242706770237945,0.008343743291523228,0.47826940942696317,1000,0.8980587362877563,0.9956559969462905
54,complete,3.4855975172831677e-06,48,6,0.06870356172971334,44.06171432555407,0.007842271490196244,0.4841835387896649,2000,0.9243279257397896,0.99577563369876
55,complete,4.804895525012398e-06,48,5,0.07887610561954968,41.93570184013873,0.008226755483541083,0.4796308747918444,2000,0.9242563963886092,0.9906842459404939
58,complete,4.634364358935272e-06,48,6,0.055918856694409665,24.757310681031434,0.008493441848100402,0.5215941570696142,2000,0.8535552927970778,0.9940433533662396
61,complete,1.9339822756592184e-06,48,6,6.425430578359461,83.09805932616818,0.007627642921824246,0.40390429095009317,1000,0.8618050744358849,0.9958783160361838
63,complete,3.37753476742364e-06,48,6,0.04521046654117155,54.12325756355341,0.00797186521738077,0.4191665471070438,1000,0.8506348430963335,0.9961140748458486
66,complete,3.5549933272704948e-06,48,5,6.722122724359774,62.20413674327617,0.006720994412990852,0.4227771065491885,1000,0.850844375339915,0.9919860035482226
71,complete,5.765226433140924e-06,48,6,0.05762024237657534,47.118008210987554,0.007725009470896921,0.48035490078498144,2000,0.9283360681114174,0.9956503566302903
75,complete,3.6743576856679283e-06,32,6,0.04355412491996637,32.68860516681438,0.008763794717226332,0.7067289741844771,1000,0.8545963000618142,0.9957136713018949
