trial,state,rmse,hidden,n_layers,lambda_phys,lambda_ic,lr,scheduler_gamma,scheduler_step,adam_beta1,adam_beta2
0,complete,0.003524316241964698,48,6,0.8471801418819978,15.75132049977973,0.0002051338263087451,0.3935967122017216,1000,0.9712646604084909,0.9959510386162578
1,complete,0.030075116083025932,96,2,7.579479953348009,46.22589001020831,0.00026587543983272726,0.4090949803242604,1000,0.8925939140143353,0.9951950886731592
2,complete,0.00803444441407919,64,3,0.2801635158716261,1.9010245319870354,0.0003839629299804173,0.5198171059762151,3000,0.9599246345950219,0.9919767704433677
3,complete,0.00871818233281374,80,4,0.0015339162591163618,16.40928673064792,0.00021930485556643703,0.3390309557911677,5000,0.9851884846304383,0.998003133746353
4,complete,0.032827701419591904,48,2,0.5456725485601477,7.591104805282694,0.00017541893487450815,0.5971061460667622,1000,0.9773048562910295,0.9925619218178402
7,complete,0.00012099928426323459,48,3,0.14817820606039092,1.9135880487692298,0.0040215545266902904,0.3447303862078625,5000,0.9581142677015321,0.9919672852471884
8,complete,0.0004879069165326655,16,6,0.6720930050156113,28.70875348195468,0.0034877126245459306,0.3444267910404542,2000,0.8662216683335181,0.9985447239161683
11,complete,0.0005666583310812712,16,5,3.014081614611621,73.47973767867614,0.0037539522659534334,0.3124093411638383,3000,0.8604465441190641,0.9998807207324026
12,complete,0.00145126529969275,16,5,0.031214953823638873,30.196969843218803,0.0020518849625537163,0.4646909839694886,2000,0.9287649115322774,0.9933875261285595
13,complete,0.0005317360046319664,32,4,0.0396287130114545,6.5421073151592655,0.0017021074204418985,0.315329696886326,2000,0.9019111830037088,0.9967864956204765
14,complete,6.131549889687449e-05,32,5,1.5470900640652263,29.936200869893714,0.006096230092353268,0.5804885760194731,4000,0.8667959979275492,0.9905189446027594
15,complete,5.432702164398506e-05,48,5,1.508625542422029,1.0519095028133836,0.008429309163885967,0.6145382291843938,4000,0.943876319964684,0.9904483293373831
16,complete,1.2738558325509075e-05,32,5,2.281166987382632,91.05273581735291,0.008152059999870393,0.6461695043338067,4000,0.915952269783803,0.9901304742223711
18,complete,2.539852175686974e-05,64,5,2.310222150641068,1.0017997386803401,0.008914613024471784,0.7961203865795026,4000,0.913451389893625,0.9913694531750699
19,complete,5.624420373351313e-05,64,6,3.296121283573555,4.000009167270171,0.005993008276009942,0.8512075704395271,4000,0.9135124750050402,0.9935907619074165
20,complete,1.5661787983844988e-05,128,5,9.658318826868332,3.962086517420245,0.002116534408269177,0.8031522400235495,5000,0.917152623606975,0.9913701958224498
23,complete,7.363381155300885e-05,96,5,1.8166742679338674,1.5931613561528404,0.005755094635217657,0.6630434126835159,4000,0.9255974495392907,0.9928561542068304
28,complete,0.00022252135386224836,64,5,0.008381644870942567,21.359364513969787,0.004738825251484618,0.8363441154024617,4000,0.898390430192634,0.9910032414168705
29,complete,0.00012406543828547,48,6,0.3671205556235434,2.610980060247185,0.003039613387786241,0.6323237844150094,3000,0.8762645665108845,0.9941679799132583
30,complete,0.00012468018394429237,80,5,0.8934345823996309,4.680091082386799,0.006905432578652642,0.567609461918443,4000,0.9227355536441075,0.9954978706790387
31,complete,2.7809177481685765e-05,48,5,2.2761589409699776,1.0416612190013168,0.00906915519832042,0.7075994774980219,4000,0.9552062650203355,0.9900347585813425
32,complete,3.6282061046222225e-05,32,5,5.340359171267041,1.3247547241758841,0.009639660184313831,0.7181516233065087,4000,0.9614326925855334,0.9900068827201475
33,complete,2.5965084205381572e-05,48,6,9.587496758346864,2.271420499358472,0.004580062646946162,0.7863028347780269,3000,0.9469219112314359,0.9921226177052861
34,complete,5.43514579476323e-05,64,6,5.951876991982921,2.2847288942115718,0.004740725508360128,0.8525509371409888,3000,0.9182031740464679,0.9920453040798506
35,complete,8.022815018193796e-05,48,6,7.791486815568497,8.302441218629223,0.0025917499267237385,0.7792909962716787,3000,0.9391588133591013,0.9928347172849982
37,complete,3.1301373383030295e-05,48,6,9.866597443236465,13.664322093229275,0.00682072566975041,0.5354018446882366,1000,0.9492379800992271,0.9919652747379867
39,complete,0.00022318746778182685,96,6,0.16461889788915207,5.625335859641018,0.004739615594721005,0.660993176337547,5000,0.9643022139356521,0.9969271828159678
42,complete,3.4397817216813564e-05,48,5,2.059632398596081,1.568266654474344,0.007246537612921209,0.7624330240596067,4000,0.953417351328103,0.990805218326812
43,complete,0.00023945479188114405,64,4,0.9975001112035271,98.86679164616335,0.005560210038125794,0.727727812477654,3000,0.922359863160975,0.9900663484392818
51,complete,7.276904943864793e-05,48,6,9.861127505294938,12.50258844659771,0.006423437237169402,0.542906548072264,1000,0.9497982523932166,0.9913135967471562
57,complete,0.0002075862284982577,128,6,2.207265816179067,7.6093173883285665,0.008394627276462754,0.5115033877565093,4000,0.9112135172285378,0.9914912650467199
66,complete,2.973988011945039e-05,48,5,6.35170252736963,3.21549581042399,0.0086716819610724,0.8033888317390016,3000,0.9667535196246543,0.9914259878562208
71,complete,8.21034045657143e-05,48,5,1.73233342416976,2.25036327137214,0.007256390176414856,0.7484375945618911,3000,0.9216619089616573,0.9907485076651968
81,complete,3.901618765667081e-05,32,5,5.625976640360845,1.145133549009991,0.0092539381914848,0.7699553656194852,4000,0.9613847373178163,0.9902115626482437
89,complete,4.006896051578224e-05,48,6,3.3446655672136774,1.246267987237791,0.007663817947063204,0.6572751291475416,4000,0.9517939233768281,0.9900248480860886
91,complete,4.179078678134829e-05,32,5,5.7039130958489555,1.1309046763553907,0.009209703764445956,0.7483301126155417,4000,0.9609174922813061,0.9903087779416717
94,complete,2.850105011020787e-05,48,5,5.152889098117326,3.14304511956695,0.006570659757766181,0.8104939339245919,4000,0.9684044462812518,0.9909739002429563
99,complete,6.163167563499883e-05,48,6,1.6731103047743758,4.7684264600600885,0.0056453562856316995,0.8683452150732934,5000,0.9165015278985923,0.9926297552663117
101,complete,2.5026627554325387e-05,32,5,8.285902722270022,1.1456964262751166,0.009900098072993158,0.7649559100023068,4000,0.960256999839378,0.9900059721590946
110,complete,3.205075699952431e-05,32,5,2.4333043386991213,4.328621974931063,0.007872171314267718,0.6698829807989101,1000,0.9637225239351758,0.9900006068913902
111,complete,3.752275733859278e-05,32,5,2.016106592770946,3.1967851233212965,0.007914542883551135,0.6110636643413413,1000,0.9635371833497184,0.9903748872192149
118,complete,2.4725362891331315e-05,64,4,8.509121131521631,3.823957531723395,0.009853790334269126,0.7204535625154833,3000,0.9500591967668895,0.9919090177813983
124,complete,8.125448948703706e-05,48,5,9.988415833877294,8.55737106902115,0.007283576935413224,0.8264230580301904,3000,0.9639352239930622,0.9902393433540787
128,complete,8.805294055491686e-05,32,5,4.286588442859116,6.346956186902106,0.006597565305894404,0.7994299681053607,1000,0.9534075225923823,0.9909448266871762
129,complete,1.958635766641237e-05,48,4,6.66508479044717,14.994565991330658,0.009600926960507322,0.548358222397412,4000,0.9515625334549964,0.9919477429200454
136,complete,0.00015142788470257074,48,6,4.486221429818236,19.099989062125108,0.00996556642155779,0.48546003235281676,4000,0.9197441054200785,0.9914501472583671
139,complete,4.144674676354043e-05,32,5,7.832827241488851,11.38700390041263,0.0067725734888066476,0.6666421430257977,5000,0.9685151184521897,0.9904148920114089
140,complete,2.8236489015398547e-05,48,5,3.6568421806025886,23.32171827015046,0.00795372235866638,0.7263975116238082,4000,0.9552888149483497,0.9919152214957511
141,complete,0.00013826173380948603,48,5,3.707982631564478,18.978913218981617,0.00794979585039859,0.7310308478723224,4000,0.9595548211838278,0.9918323518373278
144,complete,7.476312748622149e-05,48,5,5.717629482894469,25.639442961563645,0.007491766211748176,0.7835869083081697,4000,0.9098226626358688,0.9924231718077285
