trial,state,rmse,hidden,n_layers,lambda_phys,lambda_ic,lambda_bc,lr,scheduler_gamma,scheduler_step
0,complete,0.0021465809550136328,48,10,15.702970884055382,157.51320499779712,20.513382630874496,0.00020511104188433984,0.33485016730091965,5000
1,complete,0.05456101521849632,80,8,0.115279871282324,870.6020878304851,462.25890010208275,0.00026587543983272726,0.4090949803242604,1000
2,complete,0.016639288514852524,48,6,1.976218934028007,38.23475224675185,167.38085788752124,0.00019010245319870352,0.47528678912113087,2000
3,complete,0.02464325726032257,64,9,0.3972110727381912,106.77482709481349,153.04852121831465,0.0001238513729886094,0.664526911140863,1000
4,complete,0.002660436788573861,16,10,78.86714129990483,413.8040112561011,40.66563313514794,0.0001567993391672301,0.7105398159072942,3000
8,complete,3.6790126614505425e-05,48,6,0.2647114182821816,402.15545266902836,14.096175149815862,0.009413993046829943,0.7633468615779946,1000
10,complete,1.0044309419754427e-05,128,5,0.8376886561830927,10.862348973937136,10.693848217322548,0.006536264082965736,0.8794799491387799,4000
12,complete,7.697361070313491e-06,128,5,0.6323728543271067,10.307046699326312,13.241669967698948,0.003816555624863523,0.8981434764965095,4000
14,complete,2.9739339879597537e-05,112,2,3.833125412072728,20.847875104970978,10.623818229569274,0.003415962026347907,0.8196248311799663,4000
18,complete,1.1999456546618603e-05,128,7,6.80068534410898,16.06467226235805,17.202040946024173,0.0010316978220772084,0.8514517294418006,4000
22,complete,1.2812475688406266e-05,128,7,1.7207068494009488,24.54976370143815,10.541131396136858,0.0012721545299008668,0.8676482694280258,4000
23,complete,3.074248752454878e-06,112,8,7.619668230055787,12.750504934092145,24.69820953175382,0.003085459945127017,0.8200597683922285,3000
26,complete,4.699705641542096e-06,96,8,31.976631751334157,14.14780261549302,26.669363725876075,0.0028314431532339202,0.7108164612664329,3000
50,complete,8.040332431846764e-06,112,9,6.395254133055183,31.837850053652627,19.205441206668695,0.0025772355832470724,0.7101445331755786,3000
52,complete,3.889889285346726e-06,128,9,11.028910410388159,12.176310348029947,11.40891817232461,0.0020310062795988537,0.7514664068467158,3000
