number,value,datetime_start,datetime_complete,duration,params_dropout_rate,params_hidden,params_lambda_ic,params_lambda_phys,params_lr,params_n_layers,params_scheduler_gamma,params_scheduler_step,state
0,0.08860582113265991,2026-05-15 12:46:35.628508,2026-05-15 12:47:19.349474,0 days 00:00:43.720966,0.146398788362281,48,53.99484409787433,0.0017073967431528124,0.0015751320499779737,6,0.39361118426546193,1000,COMPLETE
1,0.002543967217206955,2026-05-15 12:47:19.369625,2026-05-15 12:47:48.150119,0 days 00:00:28.780494,0.004116898859160489,80,2.32706770838378,0.005337032762603957,0.008706020878304856,5,0.7994655844802532,1500,COMPLETE
2,0.08017083257436752,2026-05-15 12:47:48.167003,2026-05-15 12:48:31.867545,0 days 00:00:43.700542,0.08638900372842316,48,5.404103854647328,0.01474275315991467,0.0003823475224675188,4,0.6671117368334277,1000,COMPLETE
3,0.01684301160275936,2026-05-15 12:48:31.877170,2026-05-15 12:49:10.404155,0 days 00:00:38.526985,0.03993475643167195,64,2.1930485556643684,0.26926469100861794,0.0010677482709481358,5,0.6554487413172255,500,COMPLETE
4,0.11784589290618896,2026-05-15 12:49:10.420463,2026-05-15 12:49:25.026873,0 days 00:00:14.606410,0.19312640661491187,16,7.591104805282694,0.5456725485601477,0.004138040112561018,6,0.4827682615040224,500,COMPLETE
5,0.2045384794473648,2026-05-15 12:49:25.040238,2026-05-15 12:49:25.259580,0 days 00:00:00.219342,0.006877704223043679,16,10.968217207529522,0.017654048052495083,0.006586289317583112,4,0.4552679889600102,3500,PRUNED
6,0.2734566032886505,2026-05-15 12:49:25.266706,2026-05-15 12:49:25.422681,0 days 00:00:00.155975,0.19391692555291173,80,69.78281265126033,0.24637685958997463,0.0035503048581283078,2,0.8636993649385136,4500,PRUNED
7,0.1726677268743515,2026-05-15 12:49:25.428869,2026-05-15 12:49:25.590860,0 days 00:00:00.161991,0.009045457782107613,16,5.170191786366991,2.0651425578959257,0.0004473636174621269,2,0.5332063738136892,1500,PRUNED
8,0.0025613929610699415,2026-05-15 12:49:25.597177,2026-05-15 12:50:08.003287,0 days 00:00:42.406110,0.02818484499495253,48,2.4970737145052717,1.2273800987852967,0.0040215545266902904,4,0.3447303862078625,5000,COMPLETE
9,0.20472751557826996,2026-05-15 12:50:08.014863,2026-05-15 12:50:08.330082,0 days 00:00:00.315219,0.14137146876952342,16,1.7050539260269288,0.02715581955282941,0.0028708753481954683,6,0.7627622080115675,500,PRUNED
10,0.2307850569486618,2026-05-15 12:50:08.336452,2026-05-15 12:50:08.536327,0 days 00:00:00.199875,0.07374575454421947,128,1.058315350587586,0.001154460820484614,0.00010862348973937149,3,0.8895982437149503,2500,PRUNED
